iter	Passed	Remaining
300	23467	54498
301	23548	54425
302	23623	54342
303	23702	54266
304	23790	54210
305	23878	54155
306	23982	54136
307	24072	54084
308	24155	54018
309	24236	53945
310	24303	53843
311	24376	53754
312	24453	53672
313	24541	53616
314	24635	53571
315	24717	53501
316	24795	53422
317	24871	53341
318	24941	53245
319	25022	53173
320	25103	53101
321	25208	53078
322	25291	53010
323	25369	52932
324	25449	52856
325	25520	52762
326	25589	52664
327	25655	52562
328	25734	52485
329	25795	52371
330	25880	52308
331	25960	52234
332	26038	52156
333	26111	52067
334	26198	52006
335	26267	51909
336	26325	51790
337	26392	51692
338	26453	51579
339	26509	51459
340	26576	51360
341	26632	51240
342	26700	51142
343	26765	51041
344	26831	50940
345	26903	50853
346	26973	50760
347	27036	50655
348	27111	50571
349	27199	50513
350	27264	50411
351	27338	50327
352	27411	50241
353	27484	50155
354	27560	50075
355	27636	49995
356	27705	49901
357	27772	49804
358	27832	49696
359	27901	49603
360	27966	49502
361	28033	49407
362	28092	49297
363	28157	49199
364	28223	49101
365	28306	49034
366	28371	48934
367	28434	48832
368	28505	48744
369	28572	48651
370	28639	48555
371	28711	48470
372	28780	48379
373	28837	48268
374	28917	48196
375	28990	48111
376	29065	48030
377	29140	47950
378	29217	47873
379	29299	47804
380	29375	47725
381	29439	47627
382	29509	47539
383	29582	47454
384	29647	47359
385	29712	47262
386	29784	47177
387	29856	47092
388	29924	47002
389	29986	46902
390	30063	46825
391	30128	46730
392	30190	46630
393	30263	46547
394	30330	46455
395	30396	46362
396	30458	46262
397	30529	46177
398	30592	46080
399	30658	45988
400	30718	45885
401	30784	45794
402	30857	45711
403	30927	45625
404	30995	45536
405	31073	45462
406	31152	45388
407	31222	45303
408	31299	45227
409	31370	45142
410	31442	45060
411	31515	44977
412	31597	44909
413	31680	44841
414	31760	44770
415	31835	44691
416	31913	44617
417	31974	44520
418	32042	44431
419	32123	44360
420	32207	44294
421	32282	44216
422	32368	44152
423	32441	44071
424	32522	44000
425	32593	43917
426	32678	43852
427	32780	43809
428	32851	43724
429	32936	43660
430	33030	43606
431	33124	43552
432	33205	43481
433	33270	43390
434	33336	43299
435	33414	43223
436	33483	43137
437	33549	43047
438	33615	42956
439	33685	42872
440	33750	42781
441	33822	42699
442	33900	42624
443	33983	42555
444	34057	42476
445	34146	42415
446	34280	42409
447	34378	42359
448	34470	42301
449	34563	42244
450	34654	42184
451	34746	42126
452	34816	42040
453	34889	41959
454	34966	41882
455	35032	41793
456	35102	41708
457	35169	41619
458	35238	41534
459	35322	41465
460	35450	41448
461	35524	41368
462	35598	41288
463	35669	41204
464	35738	41118
465	35813	41039
466	35884	40955
467	35960	40877
468	36029	40792
469	36097	40705
470	36169	40623
471	36243	40543
472	36312	40457
473	36386	40378
474	36454	40291
475	36524	40207
476	36600	40129
477	36666	40041
478	36744	39966
479	36818	39886
480	36888	39802
481	36960	39720
482	37034	39641
483	37106	39559
484	37182	39482
485	37252	39399
486	37322	39314
487	37398	39238
488	37473	39159
489	37555	39088
490	37619	38998
491	37695	38921
492	37771	38844
493	37844	38763
494	37926	38692
495	37988	38601
496	38053	38512
497	38124	38430
498	38199	38352
499	38271	38271
500	38339	38186
501	38415	38109
502	38492	38033
503	38569	37957
504	38639	37874
505	38721	37803
506	38794	37723
507	38867	37643
508	38950	37572
509	39033	37502
510	39108	37425
511	39181	37344
512	39256	37266
513	39356	37212
514	39451	37153
515	39520	37069
516	39587	36983
517	39660	36903
518	39723	36814
519	39792	36731
520	39864	36651
521	39930	36564
522	39998	36480
523	40063	36393
524	40132	36310
525	40202	36228
526	40270	36144
527	40350	36071
528	40423	35991
529	40503	35918
530	40567	35830
531	40635	35746
532	40703	35663
533	40785	35591
534	40859	35513
535	40939	35440
536	41004	35353
537	41080	35277
538	41153	35198
539	41226	35118
540	41298	35038
541	41364	34953
542	41439	34876
543	41504	34790
544	41578	34712
545	41647	34630
546	41713	34545
547	41775	34456
548	41854	34383
549	41915	34294
550	41981	34209
551	42046	34125
552	42115	34042
553	42177	33955
554	42257	33881
555	42343	33813
556	42414	33733
557	42480	33649
558	42547	33565
559	42613	33482
560	42690	33406
561	42767	33331
562	42843	33254
563	42913	33174
564	42987	33096
565	43061	33019
566	43119	32928
567	43190	32849
568	43293	32793
569	43395	32736
570	43479	32666
571	43561	32594
572	43630	32513
573	43717	32445
574	43794	32370
575	43863	32288
576	43932	32206
577	44013	32134
578	44088	32057
579	44159	31977
580	44226	31894
581	44293	31811
582	44350	31722
583	44412	31636
584	44493	31563
585	44563	31483
586	44630	31401
587	44698	31319
588	44757	31231
589	44819	31145
590	44881	31060
591	44945	30975
592	45009	30891
593	45080	30812
594	45143	30727
595	45209	30645
596	45275	30562
597	45339	30478
598	45398	30392
599	45468	30312
600	45535	30230
601	45612	30156
602	45682	30076
603	45748	29994
604	45813	29911
605	45878	29828
606	45944	29746
607	46023	29673
608	46093	29593
609	46162	29513
610	46232	29434
611	46311	29361
612	46382	29282
613	46453	29203
614	46518	29121
615	46593	29045
616	46669	28969
617	46733	28886
618	46803	28808
619	46871	28727
620	46935	28644
621	47006	28566
622	47073	28485
623	47147	28409
624	47214	28328
625	47276	28244
626	47339	28162
627	47402	28078
628	47468	27998
629	47539	27919
630	47608	27840
631	47671	27758
632	47735	27676
633	47796	27592
634	47866	27513
635	47938	27436
636	47999	27352
637	48068	27273
638	48129	27190
639	48206	27116
640	48279	27039
641	48352	26962
642	48416	26881
643	48482	26801
644	48548	26720
645	48614	26640
646	48683	26561
647	48758	26486
648	48820	26403
649	48886	26323
650	48957	26246
651	49022	26165
652	49092	26087
653	49157	26006
654	49224	25927
655	49291	25847
656	49360	25769
657	49421	25686
658	49493	25610
659	49566	25534
660	49649	25463
661	49726	25389
662	49804	25315
663	49870	25235
664	49941	25158
665	50012	25081
666	50084	25004
667	50146	24923
668	50219	24846
669	50293	24771
670	50370	24697
671	50442	24620
672	50508	24541
673	50577	24463
674	50649	24386
675	50711	24305
676	50782	24228
677	50846	24148
678	50909	24067
679	50978	23989
680	51038	23908
681	51111	23831
682	51188	23758
683	51256	23679
684	51326	23602
685	51396	23525
686	51461	23446
687	51529	23368
688	51594	23288
689	51665	23212
690	51737	23135
691	51801	23056
692	51860	22974
693	51927	22895
694	52006	22823
695	52070	22743
696	52127	22660
697	52205	22587
698	52275	22510
699	52345	22433
700	52415	22356
701	52478	22277
702	52549	22200
703	52616	22122
704	52695	22049
705	52764	21972
706	52830	21894
707	52890	21813
708	52960	21736
709	53024	21657
710	53089	21579
711	53151	21499
712	53224	21424
713	53312	21355
714	53437	21300
715	53530	21232
716	53596	21154
717	53676	21081
718	53744	21004
719	53863	20946
720	53949	20876
721	54016	20798
722	54082	20720
723	54151	20643
724	54218	20565
725	54286	20488
726	54360	20413
727	54422	20333
728	54484	20254
729	54557	20178
730	54633	20104
731	54702	20027
732	54770	19950
733	54841	19874
734	54912	19798
735	54985	19723
736	55056	19646
737	55122	19569
738	55183	19489
739	55260	19415
740	55333	19340
741	55403	19264
742	55463	19184
743	55528	19106
744	55598	19030
745	55667	18953
746	55739	18878
747	55801	18799
748	55870	18722
749	55938	18646
750	56006	18569
751	56071	18491
752	56138	18414
753	56207	18338
754	56269	18259
755	56338	18183
756	56406	18106
757	56467	18027
758	56541	17953
759	56616	17879
760	56679	17800
761	56751	17725
762	56823	17650
763	56900	17576
764	56972	17501
765	57076	17435
766	57181	17370
767	57255	17295
768	57324	17219
769	57389	17142
770	57461	17066
771	57534	16991
772	57604	16916
773	57674	16840
774	57744	16764
775	57816	16689
776	57883	16612
777	57957	16537
778	58029	16462
779	58093	16385
780	58170	16311
781	58235	16234
782	58304	16158
783	58377	16083
784	58451	16009
785	58525	15934
786	58596	15859
787	58663	15782
788	58732	15706
789	58797	15629
790	58869	15554
791	58939	15479
792	59004	15402
793	59072	15326
794	59150	15252
795	59232	15180
796	59302	15104
797	59372	15029
798	59435	14951
799	59504	14876
800	59568	14799
801	59638	14723
802	59715	14649
803	59780	14573
804	59839	14495
805	59907	14419
806	59973	14343
807	60035	14265
808	60113	14192
809	60181	14116
810	60290	14050
811	60374	13978
812	60445	13903
813	60511	13827
814	60579	13751
815	60643	13674
816	60710	13598
817	60777	13522
818	60838	13445
819	60906	13369
820	60973	13293
821	61037	13217
822	61108	13142
823	61180	13067
824	61253	12993
825	61319	12917
826	61385	12841
827	61449	12764
828	61524	12690
829	61596	12616
830	61658	12539
831	61733	12465
832	61804	12390
833	61876	12315
834	61948	12241
835	62007	12164
836	62082	12090
837	62144	12013
838	62217	11939
839	62282	11863
840	62343	11786
841	62410	11711
842	62484	11637
843	62551	11561
844	62626	11487
845	62709	11415
846	62782	11340
847	62848	11265
848	62909	11188
849	62976	11113
850	63052	11039
851	63135	10967
852	63206	10892
853	63286	10819
854	63364	10746
855	63439	10672
856	63503	10596
857	63576	10522
858	63649	10447
859	63713	10371
860	63780	10296
861	63848	10221
862	63913	10146
863	63973	10069
864	64037	9994
865	64107	9919
866	64203	9848
867	64291	9777
868	64374	9704
869	64446	9629
870	64529	9557
871	64598	9482
872	64671	9408
873	64743	9333
874	64819	9259
875	64891	9185
876	64962	9111
877	65038	9037
878	65121	8964
879	65192	8889
880	65258	8814
881	65325	8739
882	65394	8665
883	65464	8590
884	65525	8514
885	65597	8440
886	65662	8365
887	65723	8289
888	65792	8214
889	65859	8139
890	65918	8064
891	65981	7988
892	66044	7913
893	66127	7840
894	66214	7768
895	66282	7693
896	66363	7620
897	66422	7544
898	66497	7470
899	66578	7397
900	66645	7322
901	66725	7249
902	66801	7175
903	66865	7100
904	66939	7026
905	67016	6953
906	67109	6881
907	67205	6809
908	67289	6736
909	67374	6663
910	67445	6589
911	67518	6514
912	67587	6440
913	67661	6366
914	67746	6293
915	67814	6218
916	67878	6143
917	67949	6069
918	68019	5995
919	68091	5921
920	68169	5847
921	68258	5774
922	68329	5700
923	68402	5626
924	68470	5551
925	68536	5477
926	68618	5403
927	68724	5332
928	68808	5258
929	68887	5185
930	68958	5110
931	69036	5036
932	69110	4962
933	69183	4888
934	69244	4813
935	69316	4739
936	69392	4665
937	69454	4590
938	69519	4516
939	69602	4442
940	69674	4368
941	69746	4294
942	69815	4220
943	69887	4145
944	69955	4071
945	70024	3997
946	70094	3922
947	70160	3848
948	70223	3773
949	70292	3699
950	70350	3624
951	70424	3550
952	70494	3476
953	70565	3402
954	70630	3328
955	70704	3254
956	70770	3179
957	70835	3105
958	70907	3031
959	70970	2957
960	71029	2882
961	71093	2808
962	71163	2734
963	71223	2659
964	71288	2585
965	71350	2511
966	71414	2437
967	71477	2362
968	71535	2288
969	71609	2214
970	71670	2140
971	71730	2066
972	71800	1992
973	71857	1918
974	71922	1844
975	71984	1770
976	72047	1696
977	72116	1622
978	72189	1548
979	72259	1474
980	72328	1400
981	72398	1327
982	72459	1253
983	72525	1179
984	72587	1105
985	72649	1031
986	72715	957
987	72774	883
988	72841	810
989	72912	736
990	72978	662
991	73039	589
992	73101	515
993	73163	441
994	73224	367
995	73289	294
996	73354	220
997	73426	147
998	73500	73
999	73559	0
