iter	RMSE
0	24.90748627
1	23.00146092
2	21.37857587
3	19.98899583
4	18.82262663
5	17.83834534
6	17.0182424
7	16.33819324
8	15.77636264
9	15.30174016
10	14.91939177
11	14.60631172
12	14.35058338
13	14.15031416
14	13.97698823
15	13.83999135
16	13.72843044
17	13.63712367
18	13.5633335
19	13.50523338
20	13.45550095
21	13.41775855
22	13.3885224
23	13.36173369
24	13.34149067
25	13.32446344
26	13.30906281
27	13.2963183
28	13.28634306
29	13.27804193
30	13.27106683
31	13.26476407
32	13.25782363
33	13.25347536
34	13.24971997
35	13.24669175
36	13.24401109
37	13.24135193
38	13.23917895
39	13.23760835
40	13.23601082
41	13.23436812
42	13.23293938
43	13.23146347
44	13.23027785
45	13.22863359
46	13.22690457
47	13.22601208
48	13.22476742
49	13.22380449
50	13.22307893
51	13.22231695
52	13.22156096
53	13.22072561
54	13.21996229
55	13.21896465
56	13.21653569
57	13.2154956
58	13.21504751
59	13.21421614
60	13.21275846
61	13.21224736
62	13.21147321
63	13.21032902
64	13.20992161
65	13.20916897
66	13.20857045
67	13.2074543
68	13.20701719
69	13.2064592
70	13.20592794
71	13.20528783
72	13.20417669
73	13.20339972
74	13.20270167
75	13.20215466
76	13.20087167
77	13.20022875
78	13.19965563
79	13.19901064
80	13.19837331
81	13.1976294
82	13.19697436
83	13.19632862
84	13.19574086
85	13.19512192
86	13.19474901
87	13.1942794
88	13.19373837
89	13.1928915
90	13.19243289
91	13.19221261
92	13.19160254
93	13.19136137
94	13.19070206
95	13.19030197
96	13.18870606
97	13.18809324
98	13.18754342
99	13.18703936
100	13.1866602
101	13.18618377
102	13.18562514
103	13.18517899
104	13.18477288
105	13.18409465
106	13.18368866
107	13.18278749
108	13.18230952
109	13.18099176
110	13.18058439
111	13.18021908
112	13.17962936
113	13.17918272
114	13.17841831
115	13.17818885
116	13.17777424
117	13.17738978
118	13.17666943
119	13.17621904
120	13.17558818
121	13.17528651
122	13.17475614
123	13.17445841
124	13.17383244
125	13.1727566
126	13.17235873
127	13.17189136
128	13.17115317
129	13.17067741
130	13.17025299
131	13.16949311
132	13.16890756
133	13.16833492
134	13.16785035
135	13.16746251
136	13.16693888
137	13.16641811
138	13.16496191
139	13.16393482
140	13.16353619
141	13.16300029
142	13.1626371
143	13.16195038
144	13.16140018
145	13.16091446
146	13.15991444
147	13.15958501
148	13.15907351
149	13.15851231
150	13.15775248
151	13.15726939
152	13.15661758
153	13.15624751
154	13.15588315
155	13.15536045
156	13.15494809
157	13.15449541
158	13.15331114
159	13.15274033
160	13.15235789
161	13.15178646
162	13.15148877
163	13.15108089
164	13.15055056
165	13.15017697
166	13.14961153
167	13.14916253
168	13.14875492
169	13.14823986
170	13.14773879
171	13.14701139
172	13.14654879
173	13.14597343
174	13.14550601
175	13.14508172
176	13.14439216
177	13.14395603
178	13.14333142
179	13.14297001
180	13.14267718
181	13.14230982
182	13.14178292
183	13.14139811
184	13.14105894
185	13.14074728
186	13.14026691
187	13.13972504
188	13.13932297
189	13.13874226
190	13.13841009
191	13.13812099
192	13.13763605
193	13.13731011
194	13.13692228
195	13.13657825
196	13.13618438
197	13.13570593
198	13.13477729
199	13.13444164
200	13.13377102
201	13.13343381
202	13.13303422
203	13.13276472
204	13.13239384
205	13.13210424
206	13.1317281
207	13.13139112
208	13.13105395
209	13.13071294
210	13.13046085
211	13.13015748
212	13.12988866
213	13.1293943
214	13.12902071
215	13.12877674
216	13.1282666
217	13.12789813
218	13.12764754
219	13.12726491
220	13.12675623
221	13.12655051
222	13.12617661
223	13.1257448
224	13.12535465
225	13.12480444
226	13.12441377
227	13.12416949
228	13.12346902
229	13.12315436
230	13.12271619
231	13.12245676
232	13.12202858
233	13.12150976
234	13.12124851
235	13.12102373
236	13.12065702
237	13.12029893
238	13.11991406
239	13.11955215
240	13.11923874
241	13.1190517
242	13.11861801
243	13.11851522
244	13.11775208
245	13.11742974
246	13.11693507
247	13.11645072
248	13.11613595
249	13.11548045
250	13.11504804
251	13.11470673
252	13.11437792
253	13.11412555
254	13.11351391
255	13.11309536
256	13.11268553
257	13.11236594
258	13.11206595
259	13.11168993
260	13.11126752
261	13.11111413
262	13.11082085
263	13.11051643
264	13.11025038
265	13.10997504
266	13.10951696
267	13.10916083
268	13.10887384
269	13.10850509
270	13.10805958
271	13.10774461
272	13.10744194
273	13.10714706
274	13.10673842
275	13.10638905
276	13.10614892
277	13.10582463
278	13.10545594
279	13.10516982
280	13.10493626
281	13.10471001
282	13.10450292
283	13.10420119
284	13.10383021
285	13.10348084
286	13.10321326
287	13.1027157
288	13.10251189
289	13.1018682
290	13.10162993
291	13.10133347
292	13.10090128
293	13.10061793
294	13.10003902
295	13.09970805
296	13.09947328
297	13.09905662
298	13.09883981
299	13.09875496
300	13.09844146
301	13.09808663
302	13.09790299
